date,SPY,QQQ,IWM,IJH,VTI,VUG,EFA,EEM,VEA,VWO,XLF,XLK,XLE,XLI,XLY,XLP,XLV,XLU,XLB,XLRE,XLC,SMH,XBI,KRE,XRT,IYT,TLT,IEF,SHY,LQD,HYG,TIP,MUB,AGG,EMB,UUP,FXE,FXY,VNQ,DBC
2003-01-02,88.54,24.45,76.07,85.76,82.88,,99.3699,,,,22.05,14.88,22.42,20.62,23.25,20.01,26.7,19.21,19.85,,,20.5786,,,,,86.21,84.74,81.96,107.01,,,,,,,,,,
2003-01-03,90.5,25.28,77.33,87.61,84.56,,100.8899,,,,22.6799,15.4,22.68,20.97,23.32,20.19,27.3,19.67,20.14,,,21.6607,,,,,85.83,84.6,81.91,107.26,,,,,,,,,,
2003-01-06,91.17,25.2,77.77,88.02,85.4,,100.7999,,,,22.87,15.76,22.79,21.25,23.57,20.0,27.55,19.75,20.39,,,22.5671,,,,,85.81,84.51,81.87,107.15,,,,,,,,,,
2003-01-07,92.2,26.25,77.64,88.12,85.91,,100.2599,,,,23.22,16.3,22.12,21.1,23.73,20.22,27.39,20.02,20.48,,,23.1221,,,,,86.17,84.68,81.93,107.41,,,,,,,,,,
2003-01-08,91.05,25.84,77.2,87.09,84.87,,98.6999,,,,23.0,15.98,21.92,20.82,23.49,20.07,27.11,20.1,20.01,,,22.4376,,,,,86.78,85.12,82.07,108.2,,,,,,,,,,
2003-01-09,91.41,26.224,77.98,87.45,85.75,,99.4099,,,,23.0,16.23,22.07,21.0,23.7,20.22,27.23,20.23,20.15,,,22.9093,,,,,85.02,84.06,81.91,107.03,,,,,,,,,,
2003-01-10,91.8,26.22,77.71,87.73,85.7,,100.0099,,,,23.2,16.15,22.06,20.98,24.0,20.29,27.33,20.15,20.18,,,22.5116,,,,,85.12,84.02,81.94,107.32,,,,,,,,,,
2003-01-13,92.44,26.73,78.18,88.2,86.18,,100.2699,,,,23.42,16.4,21.89,20.98,24.16,20.33,27.37,19.72,20.41,,,23.233,,,,,85.4,84.14,81.97,107.54,,,,,,,,,,
2003-01-14,92.41,26.85,78.52,88.07,86.15,,100.5999,,,,23.39,16.45,21.95,21.01,24.16,20.37,27.31,19.65,20.41,,,23.1776,,,,,85.96,84.54,82.04,107.82,,,,,,,,,,
2003-01-15,91.91,26.58,78.15,87.51,85.65,,100.1699,,,,23.3199,16.3,22.0,20.76,23.98,20.25,27.1,19.71,20.13,,,22.7059,,,,,86.2,84.72,82.09,107.72,,,,,,,,,,
2003-01-16,91.45,26.25,78.38,87.57,85.31,,100.4999,,,,23.12,15.95,22.28,20.76,23.82,20.3,26.95,19.78,20.2,,,22.0862,,,,,85.62,84.32,82.02,107.25,,,,,,,,,,
2003-01-17,90.15,25.27,76.9,86.4,84.16,,99.5199,,,,22.96,15.2,22.15,20.5,23.62,20.49,26.97,19.6,20.16,,,20.9023,,,,,86.93,85.06,82.12,107.76,,,,,,,,,,
2003-01-21,88.95,25.02,76.08,85.27,83.01,,97.7999,,,,22.72,15.12,21.68,20.14,23.05,20.3,26.8,19.3,19.73,,,20.7266,,,,,86.8,84.93,82.13,107.75,,,,,,,,,,
2003-01-22,88.0,24.87,75.46,84.55,82.3,,96.3999,,,,22.35,15.02,21.25,19.7,22.73,20.11,26.83,18.9,19.5,,,20.6249,,,,,87.52,85.45,82.2,108.1,,,,,,,,,,
2003-01-23,87.95,25.11,75.57,84.49,82.22,,97.0099,,,,22.31,14.95,21.5,19.75,22.7,19.89,26.72,19.25,19.61,,,20.8099,,,,,87.3,85.43,82.2,108.27,,,,,,,,,,
2003-01-24,86.17,24.64,74.38,83.5,80.7,,96.0199,,,,21.75,14.61,21.21,19.46,22.52,19.53,26.14,18.86,19.28,,,20.4399,,,,,87.74,85.69,82.22,108.664,,,,,,,,,,
2003-01-27,84.5,24.37,73.13,81.88,79.21,,93.5099,,,,21.4,14.43,20.46,19.2,22.18,19.16,25.52,18.22,18.76,,,20.0699,,,,,87.5,85.4,82.19,108.144,,,,,,,,,,
2003-01-28,85.13,24.42,72.69,82.13,79.58,,93.5999,,,,21.58,14.47,20.79,19.2,22.28,19.25,25.65,18.4,18.75,,,20.1254,,,,,87.1,85.12,82.17,108.17,,,,,,,,,,
2003-01-29,84.77,24.34,72.48,81.98,79.39,,93.2499,,,,21.35,14.47,21.02,19.15,22.1,18.89,25.87,18.48,18.62,,,20.1717,,,,,86.98,85.0,82.14,108.05,,,,,,,,,,
2003-01-30,84.4,24.49,72.97,82.25,79.05,,93.6499,,,,21.3,14.44,21.34,19.16,22.06,18.76,25.92,18.47,18.6,,,20.0052,,,,,87.1,84.94,82.15,108.01,,,,,,,,,,
2003-01-31,84.15,24.01,72.65,81.8,78.85,,93.6099,,,,21.22,14.13,21.12,19.26,22.0,18.88,25.87,18.42,18.6,,,18.9064,,,,,87.54,85.25,82.2,108.2,,,,,,,,,,
2003-02-03,85.92,24.38,73.25,83.11,80.45,,95.2599,,,,21.65,14.42,21.6,19.52,22.34,19.22,26.32,18.62,18.79,,,19.7,,,,,87.31,84.86,82.05,107.75,,,,,,,,,,
2003-02-04,84.3,23.82,72.45,82.1,78.95,,94.2099,,,,21.04,14.18,21.55,19.21,21.8,19.07,25.72,18.51,18.59,,,19.4225,,,,,88.11,85.22,82.12,108.13,,,,,,,,,,
2003-02-05,84.48,24.01,72.69,82.21,79.13,,94.8099,,,,21.05,14.25,21.91,19.3,21.8,19.17,25.85,18.26,18.75,,,19.626,,,,,87.43,84.8,82.1,108.01,,,,,,,,,,
2003-02-06,83.65,23.86,72.27,81.43,78.3,,93.4099,,,,20.74,14.11,21.65,19.1,21.68,18.95,25.61,18.09,18.48,,,19.2283,,,,,87.79,85.25,82.15,108.26,,,,,,,,,,
2003-02-07,82.97,23.65,71.28,80.62,77.7,,92.5999,,,,20.5499,13.94,21.56,19.02,21.52,18.85,25.52,17.81,18.42,,,18.9138,,,,,87.63,85.02,82.12,108.25,,,,,,,,,,
2003-02-10,82.65,23.62,70.89,80.29,77.4,,92.1499,,,,20.46,13.88,21.64,18.9,21.36,18.81,25.54,17.8,18.36,,,18.8306,,,,,87.69,85.12,82.15,108.06,,,,,,,,,,
2003-02-11,82.83,23.92,71.048,80.56,77.6,,93.0499,,,,20.43,14.02,21.68,18.95,21.55,18.69,25.64,17.56,18.3,,,19.2468,,,,,87.43,85.02,82.13,108.21,,,,,,,,,,
2003-02-12,82.09,23.78,70.67,79.47,76.9,,92.5099,,,,20.25,13.95,21.34,18.75,21.44,18.69,25.2,17.0,18.25,,,19.2746,,,,,87.67,85.38,82.23,108.5,,,,,,,,,,
2003-02-13,81.0,23.32,69.94,78.26,75.76,,92.6299,,,,20.1,13.75,21.06,18.35,20.97,18.51,24.66,16.71,18.2,,,18.8769,,,,,88.17,85.74,82.27,108.51,,,,,,,,,,
2003-02-14,81.82,23.62,70.51,78.96,76.64,,93.5599,,,,20.3001,14.01,21.19,18.59,21.2,18.74,24.94,17.3,18.07,,,19.2838,,,,,87.61,85.5,82.25,108.25,,,,,,,,,,
2003-02-18,84.39,24.68,71.85,80.58,78.8,,95.4999,,,,21.07,14.55,21.6,19.05,22.05,19.05,25.75,17.62,18.6,,,20.5416,,,,,87.34,85.37,82.19,108.25,,,,,,,,,,
2003-02-19,84.28,24.71,71.33,80.52,78.67,,93.8999,,,,20.95,14.57,21.72,19.1,21.9,18.9,25.65,17.63,18.46,,,20.7174,,,,,88.25,85.8,82.25,108.7,,,,,,,,,,
2003-02-20,84.05,24.84,71.4,80.66,78.51,,93.8599,,,,20.88,14.55,21.75,19.0,21.73,18.77,25.5,17.73,18.33,,,21.1336,,,,,88.34,85.97,82.28,109.0,,,,,,,,,,
2003-02-21,83.46,24.51,71.15,80.3,78.29,,93.6999,,,,20.71,14.35,21.78,19.0,21.82,18.81,25.31,17.77,18.3,,,20.7636,,,,,88.21,85.97,82.27,109.0,,,,,,,,,,
2003-02-24,83.59,24.71,71.2,80.68,78.05,,93.4399,,,,20.6801,14.43,22.23,18.85,21.54,18.69,25.35,17.8,18.25,,,20.9671,,,,,88.62,86.14,82.29,109.31,,,,,,,,,,
2003-02-25,82.22,24.08,70.35,79.69,76.88,,91.1599,,,,20.33,14.08,22.14,18.6,21.14,18.5,24.91,17.72,17.82,,,20.3474,,,,,89.0,86.45,82.34,109.46,,,,,,,,,,
2003-02-26,83.08,24.2,71.01,80.36,77.63,,90.6999,,,,20.5499,14.12,22.25,18.9,21.61,18.67,25.44,17.61,18.23,,,20.4399,,,,,89.15,86.45,82.36,109.55,,,,,,,,,,
2003-02-27,83.16,24.27,71.3,80.53,77.91,,90.7499,,,,20.65,14.15,22.16,18.8,21.66,18.64,25.55,17.65,18.2,,,20.5509,,,,,89.31,86.52,82.34,109.72,,,,,,,,,,
2003-02-28,84.16,24.72,71.67,81.2,78.75,,91.8199,,,,20.9,14.35,22.27,19.05,22.06,18.63,25.8,17.7,18.29,,,21.1336,,,,,89.58,86.61,82.33,109.98,,,,,,,,,,
2003-03-03,83.72,24.56,71.26,80.95,78.25,,92.6999,,,,20.77,14.2,22.36,19.01,21.87,18.5,25.68,17.8,18.28,,,20.8746,,,,,89.91,86.78,82.27,110.11,,,,,,,,,,
2003-03-04,82.65,24.42,70.8,79.96,77.37,,91.4999,,,,20.52,14.07,22.33,18.75,21.29,18.32,25.46,17.65,17.84,,,20.7359,,,,,90.02,86.97,82.33,110.25,,,,,,,,,,
2003-03-05,82.36,24.32,70.584,79.34,77.15,,91.5499,,,,20.45,14.05,22.34,18.6,21.17,18.0,25.4,17.63,17.67,,,20.7729,,,,,90.04,87.12,82.4,110.25,,,,,,,,,,
2003-03-06,82.47,24.23,70.15,79.17,77.11,,90.5199,,,,20.5101,14.01,22.41,17.85,21.26,18.08,25.55,17.71,17.53,,,20.7451,,,,,90.06,87.07,82.38,110.25,,,,,,,,,,
2003-03-07,81.43,23.96,69.52,78.5,76.45,,89.3499,,,,20.22,13.71,22.34,18.35,21.0,17.85,25.4,17.75,17.35,,,20.1624,,,,,90.05,87.22,82.48,110.24,,,,,,,,,,
2003-03-10,81.1,23.91,69.05,77.9,76.0,,87.5999,,,,19.9099,13.67,22.33,18.35,21.12,17.82,25.48,17.5,17.36,,,20.2549,,,,,90.68,87.66,82.55,110.53,,,,,,,,,,
2003-03-11,80.48,23.78,68.75,77.01,75.44,,87.4499,,,,19.58,13.61,22.11,18.0,20.94,17.85,25.15,17.47,17.22,,,20.2087,,,,,90.73,87.59,82.53,110.35,,,,,,,,,,
2003-03-12,79.38,23.54,68.23,76.31,74.39,,85.6299,,,,19.1501,13.42,21.45,17.85,20.65,17.9,24.88,17.39,17.01,,,20.1902,,,,,90.88,87.5,82.46,110.2,,,,,,,,,,
2003-03-13,81.53,24.4,69.24,77.63,76.3,,87.4799,,,,19.88,13.95,21.72,18.3,21.33,18.25,25.19,17.6,17.55,,,20.4214,,,,,89.52,86.55,82.24,109.27,,,,,,,,,,
2003-03-14,83.35,25.36,70.35,79.25,77.96,,88.8699,,,,20.3799,14.43,21.72,18.67,21.98,18.46,25.35,17.81,17.93,,,21.929,,,,,89.62,86.66,82.29,109.35,,,,,,,,,,
2003-03-17,83.22,25.0,70.18,78.96,77.81,,88.7499,,,,20.35,14.4,21.88,18.65,22.0,18.41,25.2,17.89,18.02,,,21.8827,,,,,88.86,86.11,82.19,108.85,,,,,,,,,,
2003-03-18,86.28,26.42,72.23,81.56,80.56,,91.2999,,,,21.12,15.11,21.82,19.54,22.85,18.72,26.2,18.26,18.8,,,22.9833,,,,,88.01,85.7,82.13,108.28,,,,,,,,,,
2003-03-19,86.68,26.33,72.6,81.71,80.82,,92.0099,,,,21.29,15.03,22.32,19.64,22.87,18.98,26.35,18.38,18.85,,,22.9926,,,,,87.33,85.27,82.12,107.83,,,,,,,,,,
2003-03-20,86.35,26.17,72.06,81.59,80.54,,92.1099,,,,21.14,15.0,22.35,19.65,22.88,18.97,26.38,18.43,18.74,,,23.1683,,,,,86.76,85.04,82.12,107.75,,,,,,,,,,
2003-03-21,87.93,26.2,73.78,83.23,82.4,,94.0499,,,,21.57,15.33,22.33,19.92,23.53,19.08,26.84,18.49,19.0,,,24.0007,,,,,86.05,84.53,82.02,107.57,,,,,,,,,,
2003-03-24,86.35,25.97,72.81,81.89,80.91,,92.4999,,,,21.3,14.86,22.0,19.7,23.1,18.78,26.5,18.22,18.84,,,23.0388,,,,,86.85,85.18,82.17,107.98,,,,,,,,,,
2003-03-25,86.44,26.01,73.0,82.03,81.0,,92.3999,,,,21.26,14.81,22.19,19.62,23.1,18.8,26.57,18.3,18.85,,,22.9001,,,,,86.9,85.11,82.12,108.35,,,,,,,,,,
2003-03-26,86.8,26.36,73.04,82.35,81.35,,93.5699,,,,21.26,14.93,22.17,19.65,23.29,18.87,26.87,18.32,18.75,,,23.1036,,,,,87.25,85.34,82.19,108.65,,,,,,,,,,
2003-03-27,85.99,26.1,72.6,81.77,80.6,,91.7199,,,,21.07,14.77,22.21,19.42,23.13,18.65,26.55,18.21,18.5,,,22.7151,,,,,87.33,85.57,82.28,109.01,,,,,,,,,,
2003-03-28,86.25,25.95,73.19,82.48,80.6,,91.7999,,,,21.1,14.69,22.47,19.5,23.07,18.65,26.83,18.4,18.47,,,22.4284,,,,,87.72,85.85,82.36,109.4,,,,,,,,,,
2003-03-31,84.4,25.21,71.95,81.0,79.01,,90.0999,,,,20.76,14.3,22.3,19.1,22.55,18.17,26.56,18.27,18.18,,,21.3555,,,,,88.3,86.3,82.45,109.7,,,,,,,,,,
2003-04-01,84.91,25.25,72.22,81.6,79.5,,90.9999,,,,20.8101,14.34,22.35,19.2,22.61,18.35,26.7,18.31,18.16,,,21.4203,,,,,87.9,85.2,82.29,109.3,,,,,,,,,,
2003-04-02,87.5,26.03,74.13,83.6,82.0,,93.0799,,,,21.69,14.75,22.5,19.76,23.34,18.73,27.41,18.53,18.78,,,22.3174,,,,,87.28,85.42,82.21,109.21,,,,,,,,,,
2003-04-03,87.65,26.31,74.6,83.69,82.0,,92.9599,,,,21.69,15.04,22.2,19.94,23.66,18.68,27.3,18.41,18.77,,,22.8723,,,,,87.14,85.46,82.24,109.5,,,,,,,,,,
2003-04-04,87.62,25.16,74.33,83.25,81.87,,93.6199,,,,21.8299,14.76,22.3,19.86,23.61,18.67,27.4,18.48,18.75,,,22.3174,,,,,86.88,85.45,82.29,109.31,,,,,,,,,,
2003-04-07,87.97,26.07,74.58,83.38,82.3,,95.4799,,,,21.97,14.92,22.14,20.17,24.1,18.75,27.22,18.62,19.03,,,22.8538,,,,,85.92,84.76,82.14,108.57,,,,,,,,,,
2003-04-08,87.71,25.88,74.36,82.83,81.95,,95.0499,,,,21.92,14.71,21.87,20.0,23.86,18.82,27.13,18.55,18.8,,,21.9752,,,,,86.99,85.38,82.24,109.14,,,,,,,,,,
2003-04-09,86.77,25.41,73.82,82.12,81.11,,94.8999,,,,21.6999,14.41,21.89,19.84,23.8,18.81,26.9,18.46,18.58,,,21.6607,,,,,87.17,85.5,82.28,109.41,,,,,,,,,,
2003-04-10,85.71,25.3,73.97,82.08,80.86,,94.3399,,,,21.71,14.33,22.01,19.7,23.62,18.76,26.65,18.51,18.55,,,21.5498,,,,,87.35,85.69,82.27,109.5,,,,,,,,,,
2003-04-11,86.86,25.36,73.77,82.25,81.11,,94.0999,99.6999,,,21.85,14.36,21.96,19.85,23.82,18.89,26.7,18.54,18.58,,,21.5313,,,,,86.59,85.2,82.15,109.06,,,,,,,,,,
2003-04-14,87.0,25.491,74.02,82.45,81.57,,94.3099,100.2999,,,21.9601,14.4,22.01,19.92,23.8,18.97,26.85,18.65,18.62,,,21.5498,,,,,86.71,85.13,82.1,108.7,,,,,,,,,,
2003-04-15,88.42,25.849,74.65,83.26,82.57,,95.6099,101.6199,,,22.3399,14.65,22.02,20.13,24.35,19.16,26.94,18.83,18.86,,,21.781,,,,,87.04,85.34,82.15,109.32,,,,,,,,,,
2003-04-16,88.03,26.12,75.06,83.17,82.37,,95.9999,103.2999,,,22.4,14.85,21.83,20.11,23.35,18.73,26.35,19.0,19.02,,,23.0758,,,,,87.47,85.49,82.16,109.75,,,,,,,,,,
2003-04-17,88.19,26.15,75.25,83.4,82.41,,96.9599,103.7697,,,22.41,14.8,21.81,20.13,24.21,18.76,26.44,19.02,19.04,,,23.4735,,,,,87.8,84.75,82.15,110.01,,,,,,,,,,
2003-04-21,89.06,26.62,76.18,84.62,83.46,,96.7899,103.9998,,,22.67,15.04,22.2,20.32,24.5,18.93,26.64,19.22,19.25,,,24.0469,,,,,87.26,85.19,82.11,109.88,,,,,,,,,,
2003-04-22,88.89,26.65,76.2,84.4,83.1,,96.6099,103.7499,,,22.58,14.99,22.15,20.25,24.54,18.88,26.55,19.12,19.18,,,24.2782,,,,,87.62,85.41,82.18,110.2,,,,,,,,,,
2003-04-23,91.24,27.26,77.95,86.35,85.4,,98.6699,104.1498,,,23.3199,15.43,22.38,20.9,25.17,19.16,27.3,19.28,19.58,,,25.1291,,,,,87.6,85.38,82.2,110.35,,,,,,,,,,
2003-04-24,90.96,27.27,78.04,86.31,85.05,,98.1699,102.5997,,,23.01,15.41,22.44,20.75,25.0,18.95,27.31,19.67,19.69,,,24.8886,,,,,88.4,85.75,82.3,111.14,,,,,,,,,,
2003-04-25,90.02,26.86,77.23,85.6,84.19,,96.9099,100.9998,,,22.83,15.26,22.12,20.6,24.71,18.82,27.15,19.64,19.3,,,23.751,,,,,88.68,85.99,82.34,111.3,,,,,,,,,,
2003-04-28,90.3,26.95,77.55,85.8,84.65,,97.6499,101.3997,,,22.93,15.29,22.28,20.74,24.94,18.83,27.1,19.8,19.38,,,23.825,,,,,88.78,86.0,82.35,111.21,,,,,,,,,,
2003-04-29,91.4,27.41,78.75,87.09,85.51,,98.7599,104.4099,,,23.08,15.61,21.94,21.0,25.29,19.11,27.41,19.9,19.72,,,24.6379,,,,,88.32,85.66,82.31,111.02,,,,,,,,,,
2003-04-30,91.41,27.43,78.6,87.11,85.57,,99.5499,105.1797,,,23.1499,15.61,22.0,20.95,25.25,19.11,27.4,19.92,19.82,,,24.3614,,,,,88.73,85.8,82.37,111.21,,,,,,,,,,
2003-05-01,90.5,27.19,78.49,86.55,84.88,,99.1499,104.9997,,,22.96,15.46,21.98,20.85,24.84,18.8,27.3,19.61,19.64,,,23.973,,,,,88.8,86.0,82.36,111.47,,,,,,,,,,
2003-05-02,91.49,27.57,79.5,87.7,85.77,,99.5299,105.3798,,,23.2,15.74,22.32,20.98,25.07,19.0,27.65,19.68,19.93,,,24.4724,,,,,88.27,85.63,82.29,111.24,,,,,,,,,,
2003-05-05,92.5,28.17,81.26,89.28,87.09,,101.6099,107.0499,,,23.56,16.04,22.54,21.16,25.12,19.09,28.0,19.85,20.03,,,25.2308,,,,,88.2,85.52,82.26,111.22,,,,,,,,,,
2003-05-06,93.0,28.21,81.79,89.55,87.37,,102.8999,107.6997,,,23.61,16.09,22.55,21.26,25.27,19.13,27.98,19.87,20.1,,,25.2493,,,,,88.52,85.8,82.23,111.66,,,,,,,,,,
2003-05-07,92.97,28.12,81.72,89.46,87.33,,102.6699,107.8098,,,23.55,16.04,22.48,21.21,25.35,19.25,27.92,19.79,20.0,,,25.1661,,,,,89.82,86.7,82.42,112.81,,,,,,,,,,
2003-05-08,92.28,27.76,81.07,88.8,86.7,,101.1999,107.0997,,,23.2,15.88,22.7,20.95,25.29,19.15,27.7,19.75,19.88,,,24.7869,,,,,90.28,87.06,82.4,113.16,,,,,,,,,,
2003-05-09,92.61,27.995,81.49,89.1,86.97,,101.7999,107.3499,,,23.22,16.07,22.78,21.06,25.27,19.2,27.87,19.9,19.91,,,25.2354,,,,,90.2,86.97,82.39,112.76,,,,,,,,,,
2003-05-12,93.28,28.17,82.3,89.61,87.5,,102.4699,108.8997,,,23.38,16.24,22.92,21.19,25.49,19.36,28.05,19.97,20.13,,,25.6655,,,,,90.73,87.4,82.43,113.16,,,,,,,,,,
2003-05-13,94.26,28.54,82.75,90.5,88.56,,102.9099,109.0497,,,23.68,16.4,23.1,21.43,25.92,19.45,28.2,20.05,20.33,,,25.8967,,,,,90.83,87.36,82.41,113.02,,,,,,,,,,
2003-05-14,93.91,28.36,83.41,90.65,88.33,,103.3499,108.5898,,,23.6201,16.34,23.25,21.33,25.7,19.36,28.33,20.12,20.16,,,25.4343,,,,,91.62,87.72,82.47,113.5,,,,,,,,,,
2003-05-15,94.25,28.56,83.7,90.92,88.53,,103.4999,108.7497,,,23.72,16.45,23.41,21.5,25.56,19.38,28.5,20.35,20.23,,,25.7672,,,,,92.6,87.83,82.44,113.51,,,,,,,,,,
2003-05-16,94.26,28.48,83.05,90.71,88.5,,104.1099,108.7998,,,23.77,16.4,23.4,21.44,25.61,19.33,28.5,20.61,20.2,,,25.5268,,,,,92.95,88.21,82.49,113.6,,,,,,,,,,
2003-05-19,92.33,27.61,81.53,89.01,86.85,,102.0999,106.0998,,,23.3599,15.9,23.33,21.04,25.08,19.14,27.51,20.68,19.91,,,24.5649,,,,,93.13,88.45,82.6,113.981,,,,,,,,,,
2003-05-20,91.59,27.41,80.86,88.4,86.16,,102.5199,106.4499,,,23.16,15.8,23.14,20.87,24.96,19.22,27.04,20.5,19.71,,,24.3337,,,,,93.12,88.44,82.57,113.85,,,,,,,,,,
2003-05-21,91.91,27.44,81.17,88.67,86.47,,101.8099,106.2798,,,23.21,15.78,23.19,20.85,24.99,19.26,27.18,20.6,19.8,,,24.2874,,,,,94.12,88.84,82.57,114.12,,,,,,,,,,
2003-05-22,92.68,27.62,81.85,89.35,87.25,,102.6699,107.1498,,,23.39,15.88,23.85,21.03,25.31,19.39,27.51,20.75,19.93,,,24.5186,,,,,94.9,89.01,82.6,114.6,,,,,,,,,,
2003-05-23,93.14,27.95,82.39,90.18,87.71,,103.4099,108.8499,,,23.42,16.01,23.79,21.11,25.48,19.6,27.5,21.17,20.08,,,24.8331,,,,,95.64,89.14,82.6,115.134,,,,,,,,,,
2003-05-27,93.07,27.9,83.27,90.71,87.75,,103.4499,109.4598,,,23.35,16.0,24.0,21.12,25.4,19.59,27.52,21.75,20.16,,,24.8886,,,,,94.12,88.85,82.59,114.64,,,,,,,,,,
2003-05-28,95.43,28.96,85.6,92.8,89.99,,104.9599,113.1099,,,24.15,16.5,24.25,21.64,26.17,19.81,27.9,22.1,20.42,,,26.1094,,,,,93.31,88.47,82.6,114.3,,,,,,,,,,
2003-05-29,95.08,29.16,85.14,92.76,89.61,,105.6699,113.2998,,,24.03,16.65,24.0,21.4,26.18,19.81,27.75,21.65,20.29,,,26.0817,,,,,94.07,89.08,82.65,115.02,,,,,,,,,,
2003-05-30,95.56,29.45,86.87,93.45,89.7,,105.9999,113.7699,,,24.15,16.83,24.14,21.48,26.49,19.92,27.9,21.02,20.37,,,27.3765,,,,,93.97,88.89,82.62,114.86,,,,,,,,,,
2003-06-02,96.67,29.31,88.14,95.45,91.56,,106.8499,115.3998,,,24.7,16.85,24.52,22.05,26.93,20.01,27.94,22.1,20.76,,,26.8678,,,,,93.09,88.51,82.5,114.02,,,,,,,,,,
2003-06-03,96.85,28.66,88.0,94.83,91.41,,106.5599,114.0699,,,24.6799,16.73,24.45,22.04,26.68,20.04,27.93,22.1,20.75,,,26.4516,,,,,93.71,88.97,82.57,114.53,,,,,,,,,,
2003-06-04,97.57,29.72,88.69,95.47,91.95,,106.9499,114.9999,,,24.86,17.01,24.66,22.16,26.95,20.18,28.15,22.26,20.83,,,27.4875,,,,,94.05,89.27,82.71,114.91,,,,,,,,,,
2003-06-05,98.27,29.97,89.348,95.8,92.74,,108.3099,115.8597,,,25.1,17.1,24.66,22.29,27.13,20.3,28.36,22.25,21.09,,,27.7465,,,,,93.8,89.19,82.67,115.01,,,,,,,,,,
2003-06-06,99.13,30.02,90.4,96.9,93.61,,109.3299,117.2397,,,25.35,17.16,24.66,22.6,27.32,20.26,29.04,22.1,21.16,,,28.2089,,,,,93.38,88.84,82.6,115.0,,,,,,,,,,
2003-06-09,97.77,29.53,88.68,95.1,92.15,,108.7499,116.3298,,,24.8,16.84,24.56,22.42,26.85,20.21,28.76,22.01,20.86,,,27.1453,,,,,94.27,89.37,82.72,115.49,,,,,,,,,,
2003-06-10,98.19,29.68,88.96,95.28,92.55,,109.2099,116.7399,,,24.85,16.96,24.67,22.25,27.05,20.26,28.82,22.05,20.92,,,27.1829,,,,,95.07,89.9,82.8,116.12,,,,,,,,,,
2003-06-11,98.71,29.8,89.28,95.95,93.05,,110.3099,116.9997,,,25.08,16.97,24.92,22.64,27.14,20.36,29.15,22.1,21.03,,,26.6459,,,,,95.7,89.94,82.81,116.31,,,,,,,,,,
2003-06-12,99.62,30.26,90.8,97.37,94.14,,111.4099,118.1097,,,25.21,17.23,25.12,23.0,27.51,20.3,29.38,22.28,21.17,,,26.9696,,,,,96.01,90.03,82.81,116.48,,,,,,,,,,
2003-06-13,98.95,29.86,89.57,96.51,93.42,,111.1299,118.5198,,,25.21,16.97,24.74,22.77,27.39,20.32,29.17,22.21,21.06,,,26.1557,,,,,96.76,90.47,82.87,116.99,,,,,,,,,,
2003-06-16,99.8,30.0,89.85,96.79,94.2,,112.2899,119.0499,,,25.4499,17.05,24.62,22.7,27.69,20.45,29.25,22.4,21.13,,,26.0817,,,,,96.26,90.14,82.82,116.75,,,,,,,,,,
2003-06-17,101.23,30.56,90.64,97.7,95.44,,113.1899,121.3596,,,25.85,17.34,24.6,23.23,27.97,20.57,30.3,22.58,21.43,,,26.5534,,,,,95.4,89.62,82.71,116.2,,,,,,,,,,
2003-06-18,101.0,30.45,90.57,97.38,95.11,,112.6999,121.8798,,,25.55,17.34,24.42,23.18,27.69,20.5,30.57,22.51,21.38,,,26.3684,,,,,94.2,89.1,82.71,115.6,,,,,,,,,,
2003-06-19,99.84,30.38,89.66,96.7,94.16,,111.3099,121.9998,,,25.08,17.53,24.5,22.8,27.3,20.36,29.96,22.71,21.3,,,27.0251,,,,,93.5,88.85,82.76,115.35,,,,,,,,,,
2003-06-20,99.42,30.25,89.25,96.66,94.18,,111.2899,121.7997,,,24.9799,17.44,24.39,22.83,27.25,20.22,30.0,22.52,21.06,,,26.4794,,,,,93.03,88.86,82.77,115.15,,,,,,,,,,
2003-06-23,97.92,29.56,87.39,95.06,92.3,,110.0499,119.1198,,,24.55,17.01,24.24,22.54,26.82,20.04,29.48,22.19,20.6,,,25.8135,,,,,93.53,89.1,82.81,115.26,,,,,,,,,,
2003-06-24,98.02,29.53,86.98,95.03,92.4,,109.1099,117.5997,,,24.53,16.99,24.32,22.53,26.94,20.17,29.58,21.96,20.66,,,25.425,,,,,94.01,89.42,82.87,115.61,,,,,,,,,,
2003-06-25,97.53,29.47,87.67,95.65,92.17,,108.5999,118.5699,,,24.63,16.84,24.3,22.3,26.79,20.11,29.4,22.07,20.57,,,25.536,,,,,93.45,89.01,82.72,115.23,,,,,,,,,,
2003-06-26,96.96,29.61,88.4,95.76,92.3,,108.5599,119.6097,,,24.5,16.9,24.21,22.27,26.8,20.03,29.4,22.12,20.58,,,25.6944,,,,,92.12,88.23,82.56,114.15,,,,,,,,,,
2003-06-27,97.58,29.772,89.17,96.24,92.3,,108.1899,119.6799,,,24.57,17.02,24.13,22.25,26.83,20.07,29.41,22.01,20.64,,,26.0817,,,,,91.55,87.89,82.52,113.81,,,,,,,,,,
2003-06-30,97.47,29.8,88.1,96.0,92.29,,108.2999,119.6997,,,24.5,17.02,24.05,21.53,26.99,20.09,29.17,22.02,20.54,,,26.1094,,,,,91.68,88.12,82.59,114.01,,,,,,,,,,
